id,member_id,CLI,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
1077501,1296599,5000, 36 months,10.65,162.87,B,B2,,10+ years,RENT,24000,Verified,Fully Paid,n,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,860xx,AZ,27.65,0,Jan-85,1,,,3,0,13648,83.7,9,f,0,0,5861.071414,5831.78,5000,861.07,0,0,0,15-Jan,171.62,,16-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1077430,1314167,2500, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,Charged Off,n,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,Apr-99,5,,,3,0,1687,9.4,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,13-Apr,119.66,,13-Sep,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1077175,1313524,2400, 36 months,15.96,84.33,C,C5,,10+ years,RENT,12252,Not Verified,Fully Paid,n,,small_business,real estate business,606xx,IL,8.72,0,1-Nov,2,,,2,0,2956,98.5,10,f,0,0,3003.653644,3003.65,2400,603.65,0,0,0,14-Jun,649.91,,16-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1076863,1277178,10000, 36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,Fully Paid,n,"  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>",other,personel,917xx,CA,20,0,Feb-96,1,35,,10,0,5598,21,37,f,0,0,12226.30221,12226.3,10000,2209.33,16.97,0,0,15-Jan,357.48,,15-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1075358,1311748,3000, 60 months,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,Current,n,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,972xx,OR,17.94,0,Jan-96,0,38,,15,0,27783,53.9,38,f,766.9,766.9,3242.17,3242.17,2233.1,1009.07,0,0,0,16-Jan,67.79,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1075269,1311441,5000, 36 months,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,Fully Paid,n,,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,4-Nov,3,,,9,0,7963,28.3,12,f,0,0,5631.377753,5631.38,5000,631.38,0,0,0,15-Jan,161.03,,15-Sep,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069639,1304742,7000, 60 months,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,Current,n,"  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>",debt_consolidation,Loan,280xx,NC,23.51,0,5-Jul,1,,,7,0,17726,85.6,11,f,1889.15,1889.15,8136.84,8136.84,5110.85,3025.99,0,0,0,16-Jan,170.08,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1072053,1288686,3000, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,Fully Paid,n,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,900xx,CA,5.35,0,7-Jan,2,,,4,0,8221,87.5,4,f,0,0,3938.144334,3938.14,3000,938.14,0,0,0,15-Jan,111.34,,14-Dec,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1071795,1306957,5600, 60 months,21.28,152.39,F,F2,,4 years,OWN,40000,Source Verified,Charged Off,n,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,4-Apr,2,,,11,0,5210,32.6,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,12-Apr,152.39,,12-Aug,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1071570,1306721,5375, 60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,Charged Off,n,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,774xx,TX,18.08,0,4-Sep,0,,,2,0,9279,36.5,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,12-Nov,121.45,,13-Mar,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1070078,1305201,6500, 60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,Fully Paid,n,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-98,2,,,14,0,4032,20.6,23,f,0,0,7677.52,7677.52,6500,1177.52,0,0,0,13-Jun,1655.54,,15-Dec,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069908,1305008,12000, 36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,Fully Paid,n,,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-89,0,,,12,0,23336,67.1,34,f,0,0,13943.08,13943.08,12000,1943.08,0,0,0,13-Sep,6315.3,,13-Aug,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064687,1298717,9000, 36 months,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,Charged Off,n,  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,245xx,VA,10.08,0,4-Apr,1,,,4,0,10452,91.7,9,f,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,12-Jul,305.38,,12-Nov,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069866,1304956,3000, 36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,Fully Paid,n,"  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>",credit_card,citicard fund,606xx,IL,12.56,0,3-Jul,2,,,11,0,7323,43.1,11,f,0,0,3478.981915,3478.98,3000,478.98,0,0,0,15-Jan,102.43,,16-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069057,1303503,10000, 36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,Charged Off,n,,other,Other Loan,951xx,CA,7.06,0,May-91,2,,,14,0,11997,55.5,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,13-Oct,325.74,,14-Mar,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069759,1304871,1000, 36 months,16.29,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,Fully Paid,n,,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,7-Sep,1,,,11,0,6524,81.5,23,f,0,0,1270.171106,1270.17,1000,270.17,0,0,0,15-Jan,36.32,,16-Jan,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065775,1299699,10000, 36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,Fully Paid,n,,home_improvement,Home,921xx,CA,18.6,0,Oct-98,2,61,,14,0,24043,70.2,28,f,0,0,12519.26045,12519.26,10000,2519.26,0,0,0,15-Jan,370.46,,15-Apr,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069971,1304884,3600, 36 months,6.03,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,Fully Paid,n,  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>,major_purchase,Holiday,067xx,CT,10.52,0,Aug-93,0,,,20,0,22836,16,42,f,0,0,3785.02,3785.02,3600,185.02,0,0,0,13-May,583.45,,14-May,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1062474,1294539,6000, 36 months,11.71,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,Fully Paid,n,  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>,medical,Medical,890xx,UT,18.44,2,3-Oct,0,8,,4,0,0,37.73,14,f,0,0,7164.499852,7164.5,6000,1149.5,15,0,0,15-Feb,16.98,,15-Jul,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069742,1304855,9200, 36 months,6.03,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,Fully Paid,n,,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,1-Jan,0,,,8,0,7314,23.1,28,f,0,0,9459.96,9459.96,9200,259.96,0,0,0,12-Jul,8061.1,,12-Jul,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
